01:15:06.696 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8565
01:15:06.696 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#8917
01:15:06.696 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8566
01:15:06.696 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9138
01:15:06.696 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#8918
01:15:06.696 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9139
01:15:06.696 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8567
01:15:06.696 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#8919
01:15:06.697 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8568
01:15:06.696 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9140
01:15:06.697 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#8920
01:15:06.697 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9141
01:15:06.697 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8569
01:15:06.697 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#8921
01:15:06.697 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8570
01:15:06.697 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9142
01:15:06.697 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#8922
01:15:06.697 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9143
01:15:06.697 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8571
01:15:06.697 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#8923
01:15:06.697 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8572
01:15:06.697 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9144
01:15:06.697 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#8924
01:15:06.697 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9145
01:15:06.697 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8573
01:15:06.697 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#8925
01:15:06.697 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8574
01:15:06.697 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9146
01:15:06.697 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#8926
01:15:06.697 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9147
01:15:06.697 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8575
01:15:06.697 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#8927
01:15:06.697 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8576
01:15:06.697 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9148
01:15:06.697 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#8928
01:15:06.697 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9149
01:15:06.697 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8577
01:15:06.697 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#8929
01:15:06.697 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8578
01:15:06.697 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9150
01:15:06.697 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#8930
01:15:06.697 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9151
01:15:06.697 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8579
01:15:06.698 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#8931
01:15:06.698 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8580
01:15:06.698 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9152
01:15:06.698 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#8932
01:15:06.698 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9153
01:15:06.698 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8581
01:15:06.698 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#8933
01:15:06.698 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8582
01:15:06.698 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9154
01:15:06.698 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#8934
01:15:06.698 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9155
01:15:06.698 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8583
01:15:06.698 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#8935
01:15:06.698 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8584
01:15:06.698 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9156
01:15:06.698 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#8936
01:15:06.698 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9157
01:15:06.698 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8585
01:15:06.698 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#8937
01:15:06.698 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8586
01:15:06.698 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9158
01:15:06.698 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#8938
