01:15:06.717 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8780
01:15:06.717 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9352
01:15:06.717 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9133
01:15:06.717 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9353
01:15:06.717 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8781
01:15:06.717 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9134
01:15:06.718 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8782
01:15:06.718 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9354
01:15:06.718 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9135
01:15:06.718 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9355
01:15:06.718 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8783
01:15:06.718 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9136
01:15:06.718 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8784
01:15:06.718 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9356
01:15:06.718 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9137
01:15:06.718 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9357
01:15:06.718 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8785
01:15:06.718 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9138
01:15:06.718 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8786
01:15:06.718 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9358
01:15:06.718 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9139
01:15:06.718 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9359
01:15:06.718 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8787
01:15:06.718 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9140
01:15:06.718 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8788
01:15:06.718 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9360
01:15:06.718 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9141
01:15:06.718 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9361
01:15:06.718 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8789
01:15:06.718 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9142
01:15:06.718 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8790
01:15:06.718 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9362
01:15:06.718 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9143
01:15:06.718 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9363
01:15:06.718 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8791
01:15:06.718 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9144
01:15:06.718 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8792
01:15:06.718 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9364
01:15:06.718 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9145
01:15:06.719 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9365
01:15:06.719 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8793
01:15:06.719 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9146
01:15:06.719 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8794
01:15:06.719 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9366
01:15:06.719 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9147
01:15:06.719 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9367
01:15:06.719 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8795
01:15:06.719 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9148
01:15:06.719 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8796
01:15:06.719 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9368
01:15:06.719 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9149
01:15:06.719 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9369
01:15:06.719 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8797
01:15:06.719 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9150
01:15:06.719 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8798
01:15:06.719 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9370
01:15:06.719 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9151
01:15:06.719 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9371
01:15:06.719 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8799
01:15:06.719 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9152
01:15:06.719 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8800
01:15:06.719 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9372
01:15:06.719 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9153
01:15:06.719 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9373
01:15:06.719 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8801
01:15:06.719 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9154
01:15:06.719 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8802
01:15:06.719 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9374
01:15:06.719 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9155
01:15:06.719 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9375
01:15:06.719 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8803
01:15:06.719 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9156
01:15:06.719 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8804
01:15:06.719 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9376
01:15:06.719 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9157
01:15:06.720 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9377
01:15:06.720 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8805
01:15:06.720 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9158
01:15:06.720 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8806
01:15:06.720 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9378
01:15:06.720 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9159
01:15:06.720 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9379
01:15:06.720 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8807
01:15:06.720 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9160
01:15:06.720 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8808
01:15:06.720 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9380
01:15:06.720 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9161
01:15:06.720 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9381
01:15:06.720 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8809
01:15:06.720 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9162
01:15:06.720 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8810
01:15:06.720 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9382
01:15:06.720 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9163
01:15:06.720 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9383
01:15:06.720 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8811
01:15:06.720 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9164
01:15:06.720 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8812
01:15:06.720 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9384
01:15:06.720 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9165
01:15:06.720 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9385
01:15:06.720 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8813
01:15:06.720 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9166
01:15:06.720 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8814
01:15:06.720 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9386
01:15:06.720 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9167
01:15:06.720 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9387
01:15:06.720 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8815
01:15:06.720 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9168
01:15:06.721 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8816
01:15:06.721 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9388
01:15:06.721 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9169
01:15:06.721 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9389
01:15:06.721 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8817
01:15:06.721 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9170
01:15:06.721 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8818
